City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,haiku-pauwela,20.9219,-156.3051,27.9,68,40,10.29,US,1712096206
133,quimili,-27.6333,-62.4167,20.66,85,100,0.52,AR,1712096009
134,asau,46.4333,26.4,8.51,66,4,7.1,RO,1712096294
135,bredasdorp,-34.5322,20.0403,16.17,86,51,1.37,ZA,1712096295
136,rizhao,35.4275,119.4553,12.46,94,100,5.61,CN,1712096295
137,valabhipur,21.8833,71.8667,27.24,41,99,3.21,IN,1712096295
138,shiyan,32.6475,110.7781,14.61,94,97,0.46,CN,1712096295
139,mount isa,-20.7333,139.5,22.87,73,23,5.66,AU,1712096296
140,chipinge,-20.1883,32.6236,15.92,88,62,1.73,ZW,1712096296
141,mazeikiai,56.3167,22.3333,5.23,86,100,4.69,LT,1712096188
142,kitimat,54.0524,-128.6534,4.15,98,95,3.24,CA,1712096133
143,nova sintra,14.8667,-24.7167,19.69,79,22,10.77,CV,1712096151
144,puerto ayora,-0.7393,-90.3518,28.98,90,91,2.24,EC,1712096297
145,uturoa,-16.7333,-151.4333,28.45,75,19,8.5,PF,1712096297
146,rongelap,11.1635,166.8941,26.66,81,100,7.76,MH,1712096297
147,kupang,-10.1667,123.5833,26.32,100,75,2.06,ID,1712096298
148,plastun,44.7561,136.2939,1.61,56,27,1.7,RU,1712096220
149,isafjordur,66.0755,-23.124,-5.46,74,12,2.64,IS,1712096125
150,vilyuchinsk,52.9306,158.4028,3.15,76,100,3.81,RU,1712096141
151,farshut,26.0549,32.1633,25.97,26,0,2.49,EG,1712096299
152,monfalcone,45.8072,13.5342,11.54,88,40,1.03,IT,1712096299
153,tam ky,15.5667,108.4833,25.07,85,1,1.29,VN,1712096299
154,dampit,-8.2116,112.7493,22.08,96,89,1.29,ID,1712096299
155,rosarito,32.3333,-117.0333,23.47,64,0,4.8,MX,1712096082
156,nosy varika,-20.5833,48.5333,23.36,90,100,0.72,MG,1712096300
157,enewetak,11.3474,162.3373,26.76,83,94,9.88,MH,1712096187
158,dudinka,69.4058,86.1778,-14.07,90,100,2.24,RU,1712096192
159,aginskoye,51.1,114.53,-7.4,86,69,3.98,RU,1712096300
160,dapitan,8.6464,123.4208,25.68,89,11,5.72,PH,1712096301
161,aykhal,66.0,111.5,-11.25,91,100,8.73,RU,1712096202
162,ellsworth,44.5434,-68.4195,10.31,60,0,5.66,US,1712096160
163,barra de santo antonio,-9.4047,-35.5072,27.6,81,97,3.05,BR,1712096301
164,kingston,17.997,-76.7936,29.53,68,20,10.8,JM,1712096027
165,margaret river,-33.95,115.0667,9.63,89,0,4.24,AU,1712096302
166,coquimbo,-29.9533,-71.3436,17.95,70,0,2.6,CL,1712095551
167,runcu,45.1167,23.1333,8.31,74,18,1.75,RO,1712096303
168,chadron,42.8294,-102.9999,13.31,47,40,5.14,US,1712096303
169,happy valley-goose bay,53.3168,-60.3315,0.21,79,79,5.02,CA,1712096111
170,longyearbyen,78.2186,15.6401,-16.09,72,75,5.66,SJ,1712096303
171,zhalantun,48.0,122.7167,0.03,69,37,4.62,CN,1712096303
172,karonga,-9.9333,33.9333,22.83,89,28,1.31,MW,1712096304
173,northam,51.0333,-4.2167,13.7,96,100,7.77,GB,1712096192
174,badger,64.8,-147.5333,-10.01,61,75,4.63,US,1712096210
175,tejen,37.3834,60.5054,13.91,37,14,1.53,TM,1712096304
176,huron,41.1501,-82.5499,17.76,95,100,5.93,US,1712096304
177,antsiranana,-12.2787,49.2917,25.87,86,96,5.24,MG,1712096305
178,kurmuk,10.55,34.2833,27.32,51,100,1.12,SD,1712096305
179,calvinia,-31.4707,19.776,19.06,33,35,2.55,ZA,1712096133
180,sumenep,-7.0167,113.8667,26.79,86,96,2.4,ID,1712096305
181,argo,37.6333,22.7333,17.1,65,100,2.37,GR,1712096306
182,batticaloa,7.7102,81.6924,27.1,85,100,3.41,LK,1712096306
183,yemetsk,63.4721,41.7941,-6.67,78,98,3.7,RU,1712096306
184,kiunga,-6.1219,141.2906,24.55,98,93,0.11,PG,1712096306
185,kerikeri,-35.2268,173.9474,19.96,55,5,0.5,NZ,1712096306
186,colares,38.7992,-9.4469,14.94,97,7,11.18,PT,1712096307
187,katsuura,35.1333,140.3,15.33,77,97,4.39,JP,1712096307
188,new plymouth,-39.0667,174.0833,15.17,73,76,3.93,NZ,1712096307
189,luderitz,-26.6481,15.1594,17.65,73,1,1.61,NA,1712096224
190,ubari,26.5921,12.7805,24.98,13,15,3.53,LY,1712096308
191,kenitra,34.261,-6.5802,12.42,88,47,0.57,MA,1712096308
192,dryden,49.7833,-92.7503,2.8,81,100,2.46,CA,1712096062
193,alo,7.4178,6.7371,29.59,68,74,3.29,NG,1712096308
194,barranca,-10.75,-77.7667,23.02,75,23,4.1,PE,1712096161
195,muynoq,43.7683,59.0214,9.15,65,7,2.81,UZ,1712096309
196,selfoss,63.9331,-20.9971,-0.53,90,100,4.56,IS,1712096309
197,kharp,66.8014,65.8081,-10.21,86,58,5.85,RU,1712096309
198,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1712096154
199,abu qurqas,27.9312,30.8384,23.79,32,0,7.45,EG,1712096310
200,tazovsky,67.4667,78.7,-4.04,96,100,7.7,RU,1712096126
201,tibro,58.4245,14.1616,-2.15,94,100,2.24,SE,1712096310
202,punta arenas,-53.15,-70.9167,6.06,65,40,6.17,CL,1712096097
203,bom jesus,-9.0744,-44.3586,27.23,73,100,0.39,BR,1712096044
204,dongxi,28.7614,106.6611,18.52,97,79,1.4,CN,1712096311
205,sidi akkacha,36.4647,1.3026,17.16,64,85,0.67,DZ,1712096311
